using saved model.
start training - 2017-02-05 18:22:43.968000
ep: 49100, running mean: 0.081166
ep: 49200, running mean: 0.340581
ep: 49300, running mean: 0.211517
ep: 49400, running mean: 0.320801
ep: 49500, running mean: 0.384342
ep: 49600, running mean: 0.579404
ep: 49700, running mean: 0.506551
ep: 49800, running mean: 0.495029
ep: 49900, running mean: 0.469382
ep: 50000, running mean: 0.653343
ep: 50100, running mean: 0.877832
ep: 50200, running mean: 1.005660
ep: 50300, running mean: 1.040723
ep: 50400, running mean: 1.091325
ep: 50500, running mean: 1.251643
ep: 50600, running mean: 1.362047
ep: 50700, running mean: 1.459724
ep: 50800, running mean: 1.567114
ep: 50900, running mean: 1.667451
ep: 51000, running mean: 1.721347
ep: 51100, running mean: 1.822768
ep: 51200, running mean: 1.935585
ep: 51300, running mean: 1.943230
ep: 51400, running mean: 1.948339
ep: 51500, running mean: 2.024796
ep: 51600, running mean: 2.118453
ep: 51700, running mean: 2.072296
ep: 51800, running mean: 1.930639
ep: 51900, running mean: 1.879806
ep: 52000, running mean: 1.965905
ep: 52100, running mean: 1.742240
ep: 52200, running mean: 1.670421
ep: 52300, running mean: 1.604274
ep: 52400, running mean: 1.619999
ep: 52500, running mean: 1.660756
ep: 52600, running mean: 1.749471
ep: 52700, running mean: 1.963812
ep: 52800, running mean: 2.023217
ep: 52900, running mean: 2.000051
ep: 53000, running mean: 2.075970
ep: 53100, running mean: 2.011428
ep: 53200, running mean: 2.069555
ep: 53300, running mean: 2.135378
ep: 53400, running mean: 2.279091
ep: 53500, running mean: 2.139177
ep: 53600, running mean: 2.260232
ep: 53700, running mean: 2.409633
ep: 53800, running mean: 2.389691
ep: 53900, running mean: 2.410505
ep: 54000, running mean: 2.521156
ep: 54100, running mean: 2.545132
ep: 54200, running mean: 2.574285
ep: 54300, running mean: 2.522230
ep: 54400, running mean: 2.659478
ep: 54500, running mean: 2.730775
ep: 54600, running mean: 2.853277
ep: 54700, running mean: 2.807005
ep: 54800, running mean: 2.766961
ep: 54900, running mean: 2.827942
ep: 55000, running mean: 2.806816
ep: 55100, running mean: 2.801517
ep: 55200, running mean: 2.898433
ep: 55300, running mean: 2.950137
ep: 55400, running mean: 2.705934
ep: 55500, running mean: 2.905413
ep: 55600, running mean: 2.939072
ep: 55700, running mean: 2.889831
ep: 55800, running mean: 3.073199
ep: 55900, running mean: 3.143953
ep: 56000, running mean: 3.145630
ep: 56100, running mean: 3.055049
ep: 56200, running mean: 2.970675
ep: 56300, running mean: 3.067212
ep: 56400, running mean: 3.059010
ep: 56500, running mean: 2.997554
ep: 56600, running mean: 3.056918
ep: 56700, running mean: 3.148839
ep: 56800, running mean: 3.173739
ep: 56900, running mean: 3.172360
ep: 57000, running mean: 3.177903
ep: 57100, running mean: 3.350858
ep: 57200, running mean: 3.323388
ep: 57300, running mean: 3.307329
ep: 57400, running mean: 3.356335
ep: 57500, running mean: 3.412720
ep: 57600, running mean: 3.371302
ep: 57700, running mean: 3.391844
ep: 57800, running mean: 3.335306
ep: 57900, running mean: 3.167432
ep: 58000, running mean: 3.075005
ep: 58100, running mean: 2.953595
ep: 58200, running mean: 2.975489
ep: 58300, running mean: 2.864916
ep: 58400, running mean: 2.610258
ep: 58500, running mean: 2.589537
ep: 58600, running mean: 2.478181
ep: 58700, running mean: 2.434758
ep: 58800, running mean: 2.392821
ep: 58900, running mean: 2.465811
ep: 59000, running mean: 2.483961
ep: 59100, running mean: 2.412334
ep: 59200, running mean: 2.356912
ep: 59300, running mean: 2.226483
ep: 59400, running mean: 2.316776
ep: 59500, running mean: 2.376245
ep: 59600, running mean: 2.282005
ep: 59700, running mean: 2.287132
ep: 59800, running mean: 2.338612
ep: 59900, running mean: 2.383737
ep: 60000, running mean: 2.328546
ep: 60100, running mean: 2.470683
ep: 60200, running mean: 2.521207
ep: 60300, running mean: 2.736802
